Term,Canada
Canada appeared in 42 documents,Total Words (m),Frequency (f)
Article #1,20,1
Article #2,43,1
Article #3,36,2
Article #4,33,1
Article #5,36,1
Article #6,12,2
Article #7,13,2
Article #8,38,1
Article #9,40,1
Article #10,28,1
Article #11,31,1
Article #12,30,1
Article #13,34,1
Article #14,34,1
Article #15,37,1
Article #16,33,1
Article #17,31,1
Article #18,33,1
Article #19,39,1
Article #20,37,1
Article #21,43,2
Article #22,26,1
Article #23,26,1
Article #24,39,1
Article #25,36,2
Article #26,34,1
Article #27,30,1
Article #28,38,2
Article #29,29,1
Article #30,30,1
Article #31,34,1
Article #32,29,1
Article #33,27,2
Article #34,31,1
Article #35,40,1
Article #36,18,1
Article #37,44,1
Article #38,11,1
Article #39,36,1
Article #40,32,1
Article #41,45,1
Article #42,37,1
